품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200805215,엘리펜정,Eliphen Tablet,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",2008-05-07,의약품,227,정상,,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,스테아르산마그네슘,콜로이드성이산화규소,포비돈,오파드라이 Ⅱ 노란색(85F42086)",,전문의약품,완제의약품,신고,제조,,장방형,,,15.5,6.4,N,"8806534014900,8806534014917,8806534014924,8806534014931",N02AJ13,200805215,,,Acetaminophen/Tramadol Hydrochloride
202006755,엘앤씨메가펜정(아세트아미노펜제피세립),L&C Megapen Tab.,(주)엘앤씨바이오,L&C BIO,2020-10-06,의약품,3,정상,,아세트아미노펜 제피세립,"저치환도히드록시프로필셀룰로오스,유당수화물,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,원형,,,11.0,11.0,N,"8800605000304,8800605000311,8800605000328",N02BE01,,202006755,,Microencapsulated Acetaminophen
202104347,엘카민정,L-camin Tab.,(주)바스칸바이오제약,BASKHANBIOPharma Inc,2021-06-03,의약품,5104,정상,,아세트아미노펜/카페인무수물/에페드린염산염,"미결정셀룰로오스,포비돈,크로스카멜로오스나트륨,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,타원형,,,12.8,7.2,N,"8806562052004,8806562052011,8806562052028",R05X,,202104347,,Acetaminophen/Anhydrous Caffeine/Ephedrine Hydrochloride
201706582,엘트라셋세미정,L-tracet Tab.,(주)인트로바이오파마,INTRO BIO PHARMA,2017-08-14,의약품,50,정상,,아세트아미노펜/트라마돌염산염,"오파드라이흰색(03B28796),황색산화철,스테아르산마그네슘,전호화전분,분말셀룰로오스,옥수수전분,전분글리콜산나트륨,적색산화철",,전문의약품,완제의약품,허가,제조,,장방형,,,12.2,5.2,N,"8800524005008,8800524005015,8800524005022",N02AJ13,201706582,,,Acetaminophen/Tramadol Hydrochloride
201706581,엘트라셋정,L-tracet Semi Tab.,(주)인트로바이오파마,INTRO BIO PHARMA,2017-08-14,의약품,49,정상,,아세트아미노펜/트라마돌염산염,"오파드라이흰색(03B28796),황색산화철,스테아르산마그네슘,전호화전분,분말셀룰로오스,옥수수전분,전분글리콜산나트륨,적색산화철",,전문의약품,완제의약품,허가,제조,,장방형,,,15.6,6.5,N,"8800524004902,8800524004919,8800524004926",N02AJ13,201706581,,,Acetaminophen/Tramadol Hydrochloride
202400402,엠지엠피스정,MZ Empeace Tab.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2024-02-26,의약품,5333,정상,,아세트아미노펜/산화마그네슘/푸르설티아민,"미결정셀룰로오스,히프로멜로오스,황색4호,유당수화물,이산화규소,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,타원형,,,15.0,8.6,N,"8806452108903,8806452108910",N02BE51,,202400402,,Acetaminophen/Magnesium Oxide/Fursultiamine
200300725,엠피스정,Empeace Tab.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,2003-07-07,의약품,274,취하,2023-07-24,클로르족사존/아세트아미노펜,"미결정셀룰로오스,히프로멜로오스,폴리에틸렌글리콜6000,산화티탄,청색2호알루미늄레이크,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,타원형,,,15.0,8.7,N,"8806452040203,8806518022303,8806452040210,8806518022310",M03BB53,,200300725,,Chlorzoxazone/Acetaminophen
201903455,영진아미노펜연질캡슐325mg,Yungjin Aminophen Soft Cap. 325mg,영진약품(주),"YUNGJIN PHARM. CO.,LTD",2019-05-28,의약품,5166,유효기간만료,2024-05-28,아세트아미노펜,"프로필렌글리콜,폴리에틸렌글리콜400,젤라틴,소르비톨소르비탄 액,포비돈,안나토색소,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806424044505,8806424044512,8806424044529",N02BE01,,201903455,,Acetaminophen
199400700,영진프로파세타몰염산염,,영진약품(주),"YUNGJIN PHARM. CO.,LTD",1994-02-08,의약품,593,정상,,,"클로로아세틸클로라이드,아세톤,염화메틸렌,트리에틸아민,염산,상수,주사용수,디에틸아민,아세트아미노펜,에틸알콜,정제수,p-아세트아미도페닐클로로아세테이트",,,원료의약품,신고,제조,,,,,,,N,,,,,,
201902837,영트라셋세미정,Yungtracet Semi Tab.,영진약품(주),"YUNGJIN PHARM. CO.,LTD",2019-05-02,의약품,5161,유효기간만료,2024-05-02,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,스테아르산마그네슘,콜로이드성이산화규소,포비돈,오파드라이II노란색(85F42086)",,전문의약품,완제의약품,허가,제조,,,,,,,N,"8806424046707,8806424046714,8806424046721",N02AJ13,201902837,,,Acetaminophen/Tramadol Hydrochloride
